CP1,CP2
-14.5466,-7.9534
-16.6456,-12.4646
-13.276,-10.7886
-12.5939,-7.769
-12.9434,-5.8746
-13.7617,-4.668
-16.0491,-6.9616
-12.8991,-6.0991
-8.655,-5.6426
-7.5983,-4.6549
-9.1664,-6.6358
-11.1408,-9.898
-11.2399,-8.5351
-6.3075,-4.5785
-2.3437,-0.903
-1.5364,1.491
0.396,3.385
1.9846,9.3728
0.3545,9.0167
0.3495,5.5357
0.5636,5.1487
1.8404,2.1681
4.6171,0.3123
5.8939,4.1751
7.3894,9.7566
11.1658,14.2128
16.2859,16.4815
19.4374,17.8126
22.1825,19.4561
19.4589,18.7558
18.8915,18.3368
18.5117,17.2304
13.6947,12.0928
10.3778,6.2676
11.9046,6.2233
16.0252,8.6164
17.583,9.978
14.5471,10.5584
9.7613,11.5762
4.6006,10.3441
0.8463,7.2058
2.2797,5.5991
2.7131,5.2735
4.1466,7.8854
9.5178,12.8722
11.4829,13.7654
11.5107,14.0024
13.4449,15.1457
14.4104,17.3517
13.1571,14.7451
7.9663,6.8883
3.9006,3.594
1.9287,3.5184
1.3004,1.5678
3.4845,4.1167
1.1994,4.6028
2.758,5.4951
0.6608,4.5438
-2.9361,3.9365
-4.0955,2.2353
-1.0362,4.0654
3.4296,6.9582
4.8643,6.6948
5.7992,6.5564
6.6715,6.043
5.8877,5.592
3.8228,4.3285
1.9143,4.5649
3.8808,7.9262
0.7848,7.2561
0.1265,5.5236
4.4996,5.6037
6.6851,4.6212
7.2455,4.3573
7.8372,3.5933
10.2725,5.2978
13.0201,7.8459
17.143,9.8003
16.766,7.8485
13.1078,6.4591
13.4498,8.6634
16.292,11.0865
18.5092,10.1658
17.3514,9.0263
16.0374,10.0741
17.4423,13.4968
14.9411,12.0758
11.565,7.811
9.6267,6.7339
6.2197,6.282
-0.8122,0.2365
-7.4063,-5.6215
-9.6255,-9.1983
-9.2511,-12.1503
-4.2829,-9.3212
-1.0959,-5.1797
-3.4089,-4.9758
-7.8467,-5.8657
-6.347,-3.787
-1.4096,-2.677
0.4965,-7.5981
2.2776,-10.113
7.715,-4.2842
6.0587,-2.0179
-0.5976,-4.5643
0.3709,-2.2359
1.1519,-1.0951
-1.2858,-0.8296
0.0577,0.0296
3.3699,2.9199
4.5257,3.4039
4.0877,2.2627
8.9623,4.3089
8.2434,1.7927
2.0561,-4.2547
-0.0687,-4.8647
-0.7873,-1.2875
-3.6622,-1.2106
-7.4747,-4.9776
-7.5995,-6.4633
-6.9743,-7.1989
-9.849,-10.4033
-11.9112,-13.67
-10.1921,-13.0618
-10.3479,-15.61
-7.8786,-15.6895
-6.534,-12.8313
-3.0331,-5.8169
-0.751,-2.5214
1.8749,-1.4447
-0.3743,-2.9306
-5.9047,-7.354
-8.5289,-10.2148
-8.1215,-13.3255
-6.4327,-14.4986
-3.6498,-14.9529
-0.2419,-13.7199
-2.178,-12.6746
-3.7391,-10.3169
-2.0501,-8.928
-3.7048,-9.4141
-3.0469,-6.619
2.2362,-3.1361
5.7693,-1.9969
5.3648,-3.1079
4.5226,-3.8131
5.524,-3.3936
5.0252,-2.8493
5.7453,-3.9301
6.9967,-3.8858
11.3733,-1.3728
13.5939,0.5466
15.7836,3.4351
17.1924,3.7299
13.5074,0.3057
14.0099,-0.3685
13.1688,0.3947
6.5152,-1.936
-1.0758,-5.048
-5.1354,-8.1912
-6.57,-11.0221
-9.6296,-14.853
-10.689,-16.9026
-9.1231,-15.452
-7.276,-11.6264
-7.8665,-10.4259
-7.6756,-11.9756
-6.2033,-10.1192
-3.4499,-5.6692
-3.5092,-7.6258
-4.0997,-10.1137
-4.0654,-9.1329
-2.7499,-8.7772
-0.778,-8.8589
-1.7121,-9.1592
-2.1772,-10.0221
-0.4861,-8.6037
-0.9511,-6.3417
