CP1,CP2
5.7849,4.2503
4.171,3.8384
3.5258,3.6452
2.3181,-1.1732
0.9854,-6.8979
1.2779,-8.7477
2.4141,-7.1287
1.363,-6.5096
1.1244,-6.9217
1.8234,-8.1776
2.4287,-9.4024
3.5341,-8.7522
1.1707,-8.8522
-0.88,-10.1399
-0.9307,-11.6466
-0.1062,-9.6847
0.4371,-5.7229
2.4178,-4.0114
4.2735,-4.5189
4.9417,-7.7141
6.1725,-8.0032
5.872,-7.1674
3.4466,-6.5504
1.24,-4.8398
0.7524,-3.5354
3.2335,-3.5436
5.0584,-3.9894
5.4772,-1.8102
6.4897,1.1502
6.5335,-0.3896
6.3273,-3.6169
5.6211,-1.438
5.8525,3.2409
6.2714,4.3571
5.5028,1.9108
6.0468,-1.8793
6.1845,-1.3883
6.1036,-3.0849
6.8977,-3.3753
5.8481,-4.4157
4.486,-5.2374
4.1552,-4.7153
3.8869,-2.5684
3.3687,1.0472
2.2566,2.1628
2.3946,1.5284
2.0326,-0.6687
1.5457,2.7902
1.6525,7.2179
-0.0842,3.2705
-1.8209,-1.8331
-2.2138,-2.5619
-1.5753,-1.0096
-2.0931,2.0428
-3.2046,5.5014
-2.1597,6.5848
-1.646,4.5431
-4.0073,1.8763
-2.275,0.3031
0.8324,-0.2076
1.7212,0.6878
-0.515,0.052
-1.5012,-2.9276
-0.1436,-4.6259
-0.5985,-7.3241
-1.1471,-8.2411
-0.977,-7.2831
-0.7755,-7.3252
0.4885,-8.4921
1.6275,-7.409
0.9853,-6.4196
-1.3757,-5.7116
-0.8616,-2.66
-1.1288,-3.3899
-2.396,-5.1509
-2.5694,-4.7556
-2.524,-3.298
-3.2286,-1.278
-3.9957,0.3044
-1.0439,1.0742
3.1578,2.6563
4.547,2.3947
3.0924,1.4145
1.2317,-2.1596
-0.5353,-7.6714
-2.021,-6.9645
-3.1628,-6.82
-3.3047,-6.3944
-4.5715,-4.1565
-4.7446,-5.7312
-3.7301,-8.6184
-3.0906,-10.0056
-2.8887,-9.4242
-4.1555,-10.124
-4.7036,-10.7301
-5.8766,-9.1173
-4.9871,-6.8484
-2.4413,-3.517
-2.458,-0.6231
-0.9747,0.1145
1.4463,0.4458
3.2422,-0.2542
4.2256,-2.298
5.209,-2.3107
4.2862,-0.9485
2.4884,2.5387
0.3157,0.1821
0.2055,-2.5807
-0.0922,-2.9059
0.1415,-2.4184
1.6566,-1.1498
3.7654,1.025
3.5618,0.7935
2.5144,-0.8755
1.0608,-0.0758
0.9822,-1.1198
0.2787,-2.2575
1.7001,-1.0513
3.153,2.8113
2.6996,3.9865
3.2464,4.9428
3.4181,5.1804
3.496,0.1365
2.8864,-3.4074
2.5267,-3.1703
1.6983,-2.0894
-0.5676,-4.1334
-3.521,-5.7399
-3.0682,-6.3152
-1.7091,-5.5467
-3.1,-3.7158
-3.8658,-2.7286
-3.8192,-3.7727
-4.7102,-6.2853
-4.9136,-10.2978
-5.9921,-13.9978
-5.6331,-13.479
-3.9304,-12.9603
-2.8214,-14.2228
-1.4935,-16.0791
-1.9781,-17.8418
-0.2752,-16.5421
0.0214,-14.3362
-1.4322,-13.849
-1.0419,-14.4241
-0.2141,-12.0928
-1.2925,-10.4178
-2.5584,-9.2115
-2.9805,-6.974
