FC1,FC2
-6.2878,-5.9475
-9.0479,-10.0367
-6.2766,-8.4385
-5.1303,-6.403
-5.9843,-4.9615
-6.2759,-3.4577
-8.1301,-5.548
-7.1407,-4.9197
-5.4322,-4.3537
-4.6923,-4.1001
-5.6398,-5.8152
-8.1496,-8.0304
-5.3154,-5.8082
1.1751,-0.2734
4.1033,4.0738
2.9065,4.7334
3.5224,6.2367
6.107,9.7399
4.7542,7.7119
3.1204,4.4027
3.2683,4.4062
1.1975,2.7848
0.7206,1.9445
4.9625,5.354
8.6417,9.5132
10.3834,12.7971
13.1877,15.8622
14.617,16.5209
15.2338,17.5231
15.8192,17.0565
16.7486,16.3088
15.2093,14.9986
10.6701,11.2196
7.9748,7.4718
9.3107,8.1612
12.3966,11.6318
12.6698,13.696
12.3806,14.6037
10.9977,13.824
7.9588,11.0131
6.5451,7.9522
7.9443,6.4852
7.4996,5.5807
9.6802,8.2073
15.2361,13.0214
15.6983,13.3669
14.7856,14.3997
16.623,16.2763
16.8042,16.9655
13.6727,13.4672
8.26,6.1249
6.9414,2.6575
6.4979,2.1902
3.9606,0.1603
6.1732,2.6925
6.2605,4.1931
5.1604,4.0999
3.3419,1.8516
4.5861,1.914
5.6428,2.8523
7.2306,4.4781
8.35,6.5728
7.9385,6.199
8.9647,5.9814
10.4285,5.295
8.7986,3.6397
4.6688,1.6719
0.9767,1.3916
0.441,3.58
0.4678,2.6746
-0.7552,1.3318
0.772,2.3953
1.3618,1.6462
0.3578,-0.103
-1.1149,-1.1023
2.1937,2.1169
6.0959,6.3984
8.4358,8.9611
8.0573,7.4615
9.1789,8.7742
13.8944,13.8057
16.0787,15.1185
15.0442,12.4937
14.4472,10.8062
14.4442,11.4936
16.9415,15.1811
13.8764,15.1812
8.8739,12.275
10.653,12.3064
11.2135,11.6818
4.9304,6.0573
-0.8525,0.1204
-3.9165,-4.473
-5.6994,-7.0978
-0.2322,-2.4415
5.2662,2.7771
5.2021,3.3081
2.1381,0.6203
1.793,0.87
2.4792,1.4322
-0.022,-1.4118
0.8832,-1.037
9.2259,4.9316
9.5688,5.6813
5.8492,2.4309
7.0671,2.9926
6.7849,3.9292
6.5339,5.2407
4.1891,4.3958
2.813,5.2695
1.4056,4.1744
0.0919,1.3917
3.7472,3.5153
4.1838,4.7639
-0.9106,0.8252
-4.3488,-1.2387
-3.8808,0.7597
