FC1,FC2
18.8544,19.9351
18.1366,20.5719
18.8564,21.1775
19.0138,19.7207
16.6088,17.8265
15.2351,16.6823
13.6114,14.6944
11.3315,13.8005
11.2392,14.0317
12.8345,13.263
15.4925,13.5256
16.0256,13.9135
15.7776,14.7704
14.186,15.2836
15.032,15.8281
12.8155,14.2476
10.7553,13.0734
8.3513,11.5243
6.7599,9.4751
8.3247,9.8637
9.8585,11.5024
12.8299,14.6412
14.1451,16.3113
14.0229,15.4191
13.3695,14.652
12.9662,14.8225
12.2191,15.5556
10.5659,13.8826
11.3813,13.647
11.2593,12.9116
10.4186,12.145
9.8593,10.3159
7.894,6.5494
4.71,1.8769
0.8384,-0.9517
-1.1268,-2.7803
-2.0294,-3.5462
-3.4945,-3.4057
-2.7408,-1.7339
-2.3308,-2.7807
-3.1706,-4.6711
-4.1355,-4.9053
-4.6629,-4.9206
-3.9088,-4.6858
-5.2797,-5.3258
-6.713,-5.747
-6.7402,-5.6996
-5.2674,-4.1833
-3.607,-1.5106
-1.978,0.3497
1.9012,2.3351
5.3431,3.4143
5.2852,2.9624
3.0709,1.5417
2.2003,1.5897
-1.3889,-0.4559
-4.8531,-2.5639
-4.911,-1.2031
-3.6875,0.0954
-5.9953,-1.231
-6.2716,-0.7448
-6.0478,-1.9457
-7.9489,-4.9903
-8.3186,-6.066
-9.8446,-7.0167
-10.9955,-8.3111
-10.1152,-7.8243
-8.86,-7.7749
-7.6048,-7.4441
-6.0683,-6.207
-6.4068,-6.3761
-7.9017,-8.8265
-7.6778,-10.1207
-5.2664,-8.7585
-4.9176,-8.1151
-7.35,-9.3777
-9.72,-9.5465
-8.1526,-7.0278
-6.7727,-5.3529
-6.1741,-4.2716
-5.7003,-5.2215
-5.8828,-6.7962
-5.8465,-7.9647
-3.7788,-5.5392
-1.336,-2.9261
-1.7057,-2.1879
-3.6378,-2.106
-5.4762,-3.1178
-6.6895,-3.692
-5.2466,-1.6724
-4.0224,-0.0587
-3.8607,-0.695
-4.2302,-0.2063
-3.9434,0.8763
-2.063,1.8652
-0.0888,3.479
-1.3334,1.7179
-4.203,-0.9182
-1.6976,2.0395
1.089,4.3722
0.1881,2.9238
-0.5878,1.0692
-0.7073,0.9646
-2.7019,-0.3274
-4.1655,-2.2757
-4.098,-2.6926
-4.468,-2.5472
-3.5256,-0.4642
-0.9893,0.9314
2.2659,3.2022
4.1772,4.4417
2.3696,2.9937
0.9369,1.9206
-0.902,0.129
-0.6158,0.6499
0.7328,2.6709
-1.1687,1.1918
-3.7579,-0.3186
-4.5346,-0.8913
-3.655,-1.0577
-4.7755,-1.9741
-5.8021,-3.5154
-3.7974,-1.4629
-2.7615,-0.1914
-1.8193,0.7052
-1.7833,2.2581
-2.1225,3.1547
-3.6492,1.9887
-6.5198,0.3853
-8.5779,-0.7806
-8.0425,-0.884
-8.7571,-2.5812
-10.2529,-5.0284
-9.6864,-5.4443
-9.3077,-6.2353
-7.9291,-5.7763
-8.4255,-5.161
-8.7032,-4.2331
-9.3246,-3.0865
-7.4774,-0.1899
-5.6927,1.3006
-3.7519,2.1973
-0.6238,3.8126
-1.3083,3.3341
-3.9928,1.262
-3.9585,1.0962
-3.2367,1.7117
-5.64,0.7959
-6.6684,-0.1823
-6.9779,-0.9417
-6.7876,0.4239
-4.5663,0.7582
-2.1264,0.5925
-0.0929,1.6767
0.3156,2.0734
0.0052,1.6888
-0.899,2.3356
-5.4908,-0.8926
-9.7701,-4.6207
-11.112,-5.7551
-10.329,-5.6081
-10.5459,-5.3049
-11.1692,-4.5641
-11.1675,-3.5419
-12.5098,-3.7073
-14.6022,-5.9353
-15.7884,-7.7882
-17.9121,-10.3912
-17.0672,-9.3692
-15.2224,-7.8472
-14.0026,-6.9815
-11.5329,-4.5845
-10.6259,-4.1562
-11.344,-5.1967
-11.0622,-5.8622
-11.0618,-6.059
-10.874,-6.0682
-13.5613,-8.1087
-15.28,-8.7117
